but_cluthers
Id;Title;Description;CreatedAt;source;Sentiment;Categories
1146;Excellent accueil de tout le personnel…;Excellent accueil de tout le personnel avec le sourire en plus Jordan le vendeur nous a très bien conseillé On reviendra avec plaisir;2025-02-08 10:28:23;Trustpilot;9.27;Expérience en magasin
1147;Accueil très sympa;Accueil très sympa. Très souriantes et communicantes.  M a donné de bons conseils et m a aidé à porter mon achat à la voiture. Prix très corrects;2025-02-07 10:28:23;Trustpilot;9;Expérience en magasin
1148;un achat chez But;orsqu'on fait un achat chez But, on est généralement accueilli chaleureusement par les vendeurs. Un grand sourire se dessine une fois la transaction terminée et qu'on repart avec le produit. Cependant, si jamais un problème survient sur cet article garanti, c'est à ce moment-là qu'on réalise qu'on a été floué. Si jamais il y a une garantie qui ne sert pratiquement à rien, courir après une réponse ou une solution semble plus facile avec But.;2024-12-09 10:28:23;Trustpilot;5.27;Expérience en magasin, Service et SAV
1149;Vite commandée bonne explication sur…;Vite commandée bonne explication sur les meubles retrait impeccable;2025-01-30 10:28:23;Trustpilot;8.4;Expérience e-commerce
1150;Magasin très bien organisé;Magasin très bien organisé, propre et pratique. Personnel très professionnel et très agréable, ils prennent le temps de bien vous conseiller. Achats de très bonne qualité.;2025-01-31 10:28:23;Trustpilot;9.37;Qualité produit, Expérience en magasin
1151;Envoi rapide et conforme à la commande.;;2025-02-10 10:28:23;Trustpilot;;
1152;Très bon magasin;;2025-02-10 10:28:23;Trustpilot;;
1153;CUISINE BUT AMIENS GLISY;CUISINE BUT - Magasin de Glisy (80) - excellent rapport qualité/prix et conseiller vendeur très compétentAprès une premier achat et pose d'un cuisine BUT il y a près  de 15 ans, nous sommes toujours pleinement satisfait de la qualité des meubles et plans de travail. Aucun jeu dans les portes, les tiroirs sont toujours fonctionnels, les revêtements intérieurs et façades de meubles ne présentent aucuns défauts, etc..C'est donc tout naturellement que nous avons décidé d'acheter et faire poser à nouveau une cuisine BUT dans le cadre d'un nouveau projet immobilier.Nous avons profité des offres promotionnelles et des facilités de paiement offertes par BUT qui rendent, selon moi, l'offre BUT plus intéressante que celle des autres enseignes.Au-delà des offres et produits de l'enseigne BUT, c'est l'accompagnement par le conseiller vendeur qui a fait de ce nouveau projet une belle réussite et qui nous a apporté entière satisfaction. Il s'appelle Romain. Son écoute, son expertise, son approche factuelle ont été d'une grande aide.Si vous choisissez BUT Glisy pour votre projet cuisine et que vous êtes accompagnés par Romain, aucun doute que le projet sera réussi.;2024-12-01 10:28:23;Trustpilot;9.14;Qualité produit, Financement et promotions, Expérience en magasin
1154;Belle table;Achat en magasin. Produit conforme à mes attentes. Montage facile à 1 personne.;2025-01-23 10:28:23;Trustpilot;8.57;Montage et installation, Qualité produit, Expérience en magasin
1155;4 chaises rembourrées achetées mi…;4 chaises rembourrées achetées mi janvier 2025, 3 semaines après, la mousse est aplatie.But, importe de chine des produits bas de gamme, qu'il nous au prix d'un produit haut de gamme, la prochaine fois je passerai directement commande chez TEMU.;2025-02-08 10:28:23;Trustpilot;3.87;Qualité produit
1156;Très bien sûr le site mais à la…;Très bien sûr le site mais à la livraison   Équipe sympathie mais livraison remise à plus tard sans en informer le client qui a pris sa journée pour cela…très moyen moyen sans même une contrepartie symbolique;2025-01-29 10:28:23;Trustpilot;5.46;Expérience e-commerce, Service et SAV
1157;Bon accueil;Bon accueil. La vendeuse du rayon s'est rendue disponible pour nous donner le tapis concerné. L'attente en caisse a été un peu longue alors que nous étions seuls avec une personne devant nous. L'hôtesse de caisse a été charmante comme habituellement dans ce magasin.;2025-02-03 10:28:23;Trustpilot;7.81;Expérience en magasin
1158;j'ai acheté le lave-linge en…;j'ai acheté le lave-linge en magasin,vendeur très sympa  idem pour les livreurs  merci;2025-02-07 10:28:23;Trustpilot;8.71;Expérience en magasin
1159;Tout est bien passé pour moi merci;Tout est bien passé pour moi merci;2025-02-07 10:28:23;Trustpilot;8.95;
1160;après avoir acheté un tv il y a 3 mois…;après avoir acheté un tv il y a 3 mois qui ne fonctionne que le soir (dans la chambre) ,un problème et survenu progressivement ,au niveau de la prise casque ,puis une panne définitive toujours au niveau de la prise casque .après quelques jours le technicien a changé la carte mère ,ras  pendant 2 jours puis de nouveau en panne .vu but AGDE pour le changement de tv en prenant un modèle supérieur ,la réponse et sans appel ,il faut 3 pannes consécutive pour espérer peut etre un changement.conséquence de cette panne : je dois décrocher mon téléviseur du mur  j'ai ( 74 ans et en santé précaire) mais cela nest pas le probléme de BUT AGDE. magasin  a fuir;2025-02-06 10:28:23;Trustpilot;2.27;Service et SAV, Qualité produit
1161;Une étoile à défaut d'en mettre 0;Une étoile car je ne peux pas en mettre 0. Je suis dans mon délai légal de rétractation et souhaite annuler une commande marketplace après avoir lu les nombreux avis catastrophiques du vendeur partenaire. J'envoie plusieurs messages, aucune réponse de sa part. Je contacte BUT, ils lancent une procédure, aucune réponse. Je rappelle, ils relancent, aucune réponse. C'est sans fin et dans l'histoire c'est mon argent qu'ils ont encaissé et c'est moi qui dois attendre des plombes pendant que le délai légal défile. J'ai rappelé aujourd'hui, service injoignable, ils relancent de leur côté et m'invitent ENCORE à patienter. (Le lit commandé lui n'est même pas encore expédié donc aucun problème de ce côté là).But, que faut-il faire pour récupérer son argent ? merci.;2025-02-06 10:28:23;Trustpilot;1.72;Service et SAV, Expérience e-commerce
1162;Achat effectué au magasin But de Gennevilliers;Achat effectué au magasin But de Gennevilliers, très joli magasin, large, choix au niveau des produits, beaucoup de promo!Vendeur au top, hôtesse d’accueil au top en plus on peut même payer nos achats en 3 × 5 fois et 10 fois sans frais. Vous pouvez également maintenant louer votre literie, canapé, électroménager, télé, tout ça en leasing. Pour toute ouverture de carte But, on vous prête une fourgonnette gratuit deux heures la semaine et une heure le week-end.Sans oublier le dépôt, un grand merci au magasinier Mouldy, temps d’attente, rapide, moins de cinq minutes, et en plus on m’a chargé toute ma marchandise dans mon véhicule.C’est sûr, je reviendrai faire mes achats à But, Gennevilliers et je le recommande.👍👍👍;2025-02-03 10:28:23;Trustpilot;9.14;Financement et promotions, Expérience en magasin
1163;Magasin bien agencé,le personnel…;Magasin bien agencé,le personnel competant,les renseignements donnés ont été intéressants;2025-02-03 10:28:23;Trustpilot;8.17;Expérience en magasin
1164;Service client au top !;Professionnels,  Très compétents et très agréables ! Super équipe !;2025-02-03 10:28:23;Trustpilot;8.95;Expérience en magasin
1165;J’ai acheté un lave-vaisselle installé…;J’ai acheté un lave-vaisselle installé par des professionnels, ils ne fonctionne pas depuis son. Installation Service après-vente, lamentable;2025-01-30 10:28:23;Trustpilot;1.94;Service et SAV, Qualité produit, Montage et installation
1166;Cette entreprise vous appartient ?;;2025-02-10 10:28:23;Trustpilot;;
